[engine] Using C++ engine
=== Candidate 4: Mini AlphaZero (Single-Process Batched) ===
Device: cuda
Loaded pretrained weights from /home/start-up/AI-ZeroToOne/Season-5/ChessRL/training/candidate4/az_pretrained.pt
Model: 5 res blocks, 64 channels, 1,868,539 params (7.5 MB)
MCTS: 50 sims, 8 VL batch, c_puct=1.5
Self-play: 16 parallel games, 200 max steps, 16 games/iter
Training: 300 iters, 20 train steps/iter

Loaded 20000 human positions from supervised_training_data_shard012.npz
Replay buffer seeded with 20000 human positions
Iter   1 | Games:    16 | R/B/D: 12/3/1(D=1) | Len: 186 | PL: 0.3214 | VL: 0.5638 | Buf:  22984 | SP: 25s (38.0g/m) | Train: 1s | Elapsed: 26s
Iter   2 | Games:    32 | R/B/D: 12/3/1(D=1) | Len: 194 | PL: 0.5852 | VL: 0.4816 | Buf:  26095 | SP: 25s (38.0g/m) | Train: 0s | Elapsed: 51s
Iter   3 | Games:    48 | R/B/D: 13/3/0 | Len: 200 | PL: 0.7497 | VL: 0.4382 | Buf:  29295 | SP: 31s (31.4g/m) | Train: 0s | Elapsed: 82s
Iter   4 | Games:    64 | R/B/D: 15/1/0 | Len: 199 | PL: 0.9827 | VL: 0.3794 | Buf:  32484 | SP: 31s (30.7g/m) | Train: 0s | Elapsed: 114s
Iter   5 | Games:    80 | R/B/D: 12/4/0 | Len: 197 | PL: 1.1204 | VL: 0.3985 | Buf:  35631 | SP: 32s (29.6g/m) | Train: 0s | Elapsed: 147s
Iter   6 | Games:    96 | R/B/D: 11/4/1(D=1) | Len: 200 | PL: 1.2467 | VL: 0.3528 | Buf:  38831 | SP: 32s (29.9g/m) | Train: 0s | Elapsed: 179s
Iter   7 | Games:   112 | R/B/D: 13/2/1(D=1) | Len: 200 | PL: 1.3638 | VL: 0.3184 | Buf:  42031 | SP: 32s (30.0g/m) | Train: 0s | Elapsed: 212s
Iter   8 | Games:   128 | R/B/D: 9/6/1(D=1) | Len: 200 | PL: 1.4615 | VL: 0.2970 | Buf:  45231 | SP: 32s (30.1g/m) | Train: 0s | Elapsed: 244s
Iter   9 | Games:   144 | R/B/D: 13/3/0 | Len: 200 | PL: 1.4909 | VL: 0.3191 | Buf:  48431 | SP: 34s (28.1g/m) | Train: 0s | Elapsed: 278s
Iter  10 | Games:   160 | R/B/D: 10/5/1(D=1) | Len: 200 | PL: 1.5568 | VL: 0.3070 | Buf:  51631 | SP: 32s (29.6g/m) | Train: 0s | Elapsed: 311s
Iter  11 | Games:   176 | R/B/D: 11/4/1(D=1) | Len: 200 | PL: 1.6355 | VL: 0.2841 | Buf:  54831 | SP: 33s (29.2g/m) | Train: 0s | Elapsed: 345s
Iter  12 | Games:   192 | R/B/D: 12/4/0 | Len: 200 | PL: 1.7164 | VL: 0.2878 | Buf:  58031 | SP: 32s (29.8g/m) | Train: 0s | Elapsed: 377s
Iter  13 | Games:   208 | R/B/D: 12/4/0 | Len: 200 | PL: 1.7310 | VL: 0.2957 | Buf:  61231 | SP: 33s (29.1g/m) | Train: 0s | Elapsed: 411s
Iter  14 | Games:   224 | R/B/D: 11/3/2(D=2) | Len: 200 | PL: 1.8099 | VL: 0.2635 | Buf:  64431 | SP: 33s (28.9g/m) | Train: 0s | Elapsed: 444s
Iter  15 | Games:   240 | R/B/D: 11/5/0 | Len: 200 | PL: 1.8348 | VL: 0.2792 | Buf:  67631 | SP: 33s (28.9g/m) | Train: 0s | Elapsed: 478s
Iter  16 | Games:   256 | R/B/D: 13/3/0 | Len: 194 | PL: 1.9029 | VL: 0.2821 | Buf:  70741 | SP: 34s (28.1g/m) | Train: 0s | Elapsed: 512s
Iter  17 | Games:   272 | R/B/D: 11/4/1(D=1) | Len: 200 | PL: 1.9570 | VL: 0.2651 | Buf:  73941 | SP: 33s (29.3g/m) | Train: 0s | Elapsed: 546s
Iter  18 | Games:   288 | R/B/D: 10/5/1(D=1) | Len: 200 | PL: 1.9250 | VL: 0.2596 | Buf:  77141 | SP: 35s (27.8g/m) | Train: 0s | Elapsed: 580s
Iter  19 | Games:   304 | R/B/D: 12/4/0 | Len: 200 | PL: 1.9655 | VL: 0.2426 | Buf:  80341 | SP: 34s (28.2g/m) | Train: 0s | Elapsed: 615s
Iter  20 | Games:   320 | R/B/D: 13/3/0 | Len: 200 | PL: 1.9765 | VL: 0.2299 | Buf:  83541 | SP: 35s (27.5g/m) | Train: 0s | Elapsed: 650s
Iter  21 | Games:   336 | R/B/D: 10/6/0 | Len: 200 | PL: 2.0305 | VL: 0.2256 | Buf:  86736 | SP: 33s (28.8g/m) | Train: 0s | Elapsed: 684s
Iter  22 | Games:   352 | R/B/D: 11/3/2(D=2) | Len: 200 | PL: 2.0483 | VL: 0.2243 | Buf:  89936 | SP: 34s (28.5g/m) | Train: 0s | Elapsed: 718s
Iter  23 | Games:   368 | R/B/D: 13/2/1(D=1) | Len: 200 | PL: 2.0689 | VL: 0.2340 | Buf:  93136 | SP: 35s (27.5g/m) | Train: 0s | Elapsed: 753s
Iter  24 | Games:   384 | R/B/D: 12/2/2(D=2) | Len: 200 | PL: 2.0755 | VL: 0.2283 | Buf:  96336 | SP: 35s (27.6g/m) | Train: 0s | Elapsed: 788s
Iter  25 | Games:   400 | R/B/D: 11/4/1(D=1) | Len: 200 | PL: 2.0958 | VL: 0.2222 | Buf:  99536 | SP: 34s (28.6g/m) | Train: 0s | Elapsed: 822s
