[engine] Using C++ engine
=== Candidate 4: Mini AlphaZero (Single-Process Batched) ===
Device: cuda
Skipping pretrained weights (SKIP_PRETRAIN=1)
Model: 5 res blocks, 64 channels, 1,868,539 params (7.5 MB)
MCTS: 200 sims, 8 VL batch, c_puct=1.5
Self-play: 16 parallel games, 200 max steps, 16 games/iter
Training: 300 iters, 100 train steps/iter

Skipping human buffer seeding (SKIP_PRETRAIN=1)
Iter   1 | Games:    16 | R/B/D: 11/2/3(D=3) | Len: 200 | PL: 3.1029 | VL: 0.0178 | Buf:   3200 | SP: 117s (8.2g/m) | Train: 2s | Elapsed: 119s
Iter   2 | Games:    32 | R/B/D: 13/1/2(D=2) | Len: 200 | PL: 3.1952 | VL: 0.0102 | Buf:   6400 | SP: 129s (7.4g/m) | Train: 1s | Elapsed: 249s
Iter   3 | Games:    48 | R/B/D: 13/2/1(D=1) | Len: 200 | PL: 3.1896 | VL: 0.0103 | Buf:   9600 | SP: 135s (7.1g/m) | Train: 1s | Elapsed: 384s
Iter   4 | Games:    64 | R/B/D: 12/4/0 | Len: 200 | PL: 3.1704 | VL: 0.0110 | Buf:  12800 | SP: 138s (7.0g/m) | Train: 1s | Elapsed: 523s
Iter   5 | Games:    80 | R/B/D: 8/6/2(D=2) | Len: 200 | PL: 3.1642 | VL: 0.0140 | Buf:  16000 | SP: 143s (6.7g/m) | Train: 1s | Elapsed: 667s
Iter   6 | Games:    96 | R/B/D: 12/4/0 | Len: 200 | PL: 3.1644 | VL: 0.0131 | Buf:  19200 | SP: 141s (6.8g/m) | Train: 1s | Elapsed: 809s
Iter   7 | Games:   112 | R/B/D: 11/4/1(D=1) | Len: 200 | PL: 3.1697 | VL: 0.0141 | Buf:  20000 | SP: 146s (6.6g/m) | Train: 1s | Elapsed: 956s
Iter   8 | Games:   128 | R/B/D: 13/3/0 | Len: 200 | PL: 3.1549 | VL: 0.0133 | Buf:  20000 | SP: 145s (6.6g/m) | Train: 1s | Elapsed: 1102s
Iter   9 | Games:   144 | R/B/D: 10/3/3(D=3) | Len: 200 | PL: 3.1378 | VL: 0.0128 | Buf:  20000 | SP: 142s (6.7g/m) | Train: 1s | Elapsed: 1246s
Iter  10 | Games:   160 | R/B/D: 10/4/2(D=2) | Len: 200 | PL: 3.1232 | VL: 0.0132 | Buf:  20000 | SP: 142s (6.8g/m) | Train: 1s | Elapsed: 1389s
Iter  11 | Games:   176 | R/B/D: 8/8/0 | Len: 200 | PL: 3.1177 | VL: 0.0167 | Buf:  20000 | SP: 147s (6.5g/m) | Train: 1s | Elapsed: 1537s
Iter  12 | Games:   192 | R/B/D: 7/7/2(D=2) | Len: 200 | PL: 3.1097 | VL: 0.0142 | Buf:  20000 | SP: 142s (6.8g/m) | Train: 1s | Elapsed: 1680s
Iter  13 | Games:   208 | R/B/D: 8/6/2(D=2) | Len: 200 | PL: 3.1118 | VL: 0.0139 | Buf:  20000 | SP: 144s (6.7g/m) | Train: 1s | Elapsed: 1825s
Iter  14 | Games:   224 | R/B/D: 9/7/0 | Len: 200 | PL: 3.1064 | VL: 0.0161 | Buf:  20000 | SP: 145s (6.6g/m) | Train: 1s | Elapsed: 1972s
Iter  15 | Games:   240 | R/B/D: 10/6/0 | Len: 200 | PL: 3.1041 | VL: 0.0139 | Buf:  20000 | SP: 147s (6.5g/m) | Train: 1s | Elapsed: 2120s
Iter  16 | Games:   256 | R/B/D: 9/6/1(D=1) | Len: 200 | PL: 3.1071 | VL: 0.0145 | Buf:  20000 | SP: 145s (6.6g/m) | Train: 1s | Elapsed: 2266s
Iter  17 | Games:   272 | R/B/D: 7/9/0 | Len: 200 | PL: 3.1107 | VL: 0.0158 | Buf:  20000 | SP: 148s (6.5g/m) | Train: 1s | Elapsed: 2415s
Iter  18 | Games:   288 | R/B/D: 9/6/1(D=1) | Len: 200 | PL: 3.1066 | VL: 0.0183 | Buf:  20000 | SP: 146s (6.6g/m) | Train: 1s | Elapsed: 2562s
Iter  19 | Games:   304 | R/B/D: 7/6/3(D=3) | Len: 200 | PL: 3.0880 | VL: 0.0159 | Buf:  20000 | SP: 146s (6.6g/m) | Train: 1s | Elapsed: 2709s
Iter  20 | Games:   320 | R/B/D: 12/3/1(D=1) | Len: 200 | PL: 3.0774 | VL: 0.0155 | Buf:  20000 | SP: 147s (6.5g/m) | Train: 1s | Elapsed: 2857s
Iter  21 | Games:   336 | R/B/D: 9/7/0 | Len: 200 | PL: 3.0643 | VL: 0.0173 | Buf:  20000 | SP: 145s (6.6g/m) | Train: 1s | Elapsed: 3004s
Iter  22 | Games:   352 | R/B/D: 3/11/2(D=2) | Len: 200 | PL: 3.0658 | VL: 0.0189 | Buf:  20000 | SP: 152s (6.3g/m) | Train: 1s | Elapsed: 3157s
Iter  23 | Games:   368 | R/B/D: 6/10/0 | Len: 200 | PL: 3.0386 | VL: 0.0180 | Buf:  20000 | SP: 149s (6.5g/m) | Train: 1s | Elapsed: 3307s
Iter  24 | Games:   384 | R/B/D: 4/11/1(D=1) | Len: 200 | PL: 3.0397 | VL: 0.0163 | Buf:  20000 | SP: 146s (6.6g/m) | Train: 1s | Elapsed: 3454s
