[engine] Using C++ engine
=== Candidate 4 v5: AlphaZero with Curriculum ===
Device: cuda
Skipping pretrained weights (SKIP_PRETRAIN=1)
Model: 5 res blocks, 64 channels, 1,868,539 params (7.5 MB)
MCTS: 300 sims, 8 VL batch, c_puct=1.5
Self-play: 16 parallel games, 200 max steps
Training: 500 iters, 100 train steps/iter
Curriculum: random → greedy → minimax → self_play, promote at 75%

Resumed from checkpoint at iteration 20
  total_games=321, best_wins=0, phase=random
Iter  21 [  random] | Games:   337 | R/B/D: 1/3/12 CM:4(25%)x2 | Len: 178 | PL: 0.0000 | VL: 0.0000 | Buf:    624 | SP: 101s (9.5g/m) | Train: 0s | Elapsed: 101s
Iter  22 [  random] | Games:   353 | R/B/D: 3/2/11 CM:5(31%)x2 | Len: 192 | PL: 2.1538 | VL: 0.0115 | Buf:   1511 | SP: 108s (8.9g/m) | Train: 2s | Elapsed: 210s
Iter  23 [  random] | Games:   369 | R/B/D: 1/2/13 CM:3(19%)x2 | Len: 194 | PL: 2.0865 | VL: 0.0042 | Buf:   2521 | SP: 109s (8.8g/m) | Train: 1s | Elapsed: 320s
Iter  24 [  random] | Games:   385 | R/B/D: 2/1/13 CM:3(19%)x2 | Len: 177 | PL: 2.1026 | VL: 0.0044 | Buf:   3049 | SP: 117s (8.2g/m) | Train: 1s | Elapsed: 439s
Iter  25 [  random] | Games:   401 | R/B/D: 3/2/11 CM:5(31%)x2 | Len: 180 | PL: 2.0872 | VL: 0.0065 | Buf:   4123 | SP: 120s (8.0g/m) | Train: 1s | Elapsed: 560s
Iter  26 [  random] | Games:   417 | R/B/D: 3/1/12 CM:4(25%)x2 | Len: 183 | PL: 2.0866 | VL: 0.0059 | Buf:   5049 | SP: 120s (8.0g/m) | Train: 1s | Elapsed: 681s
Iter  27 [  random] | Games:   433 | R/B/D: 1/2/13 CM:3(19%)x2 | Len: 185 | PL: 2.0677 | VL: 0.0027 | Buf:   5507 | SP: 121s (7.9g/m) | Train: 2s | Elapsed: 804s
Iter  28 [  random] | Games:   449 | R/B/D: 0/2/14 CM:2(12%)x2 | Len: 191 | PL: 2.0636 | VL: 0.0050 | Buf:   6263 | SP: 126s (7.6g/m) | Train: 2s | Elapsed: 932s
Iter  29 [  random] | Games:   465 | R/B/D: 2/2/12 CM:4(25%)x2 | Len: 184 | PL: 2.0742 | VL: 0.0069 | Buf:   7297 | SP: 124s (7.7g/m) | Train: 1s | Elapsed: 1058s
Iter  30 [  random] | Games:   481 | R/B/D: 1/2/13 CM:3(19%)x2 | Len: 195 | PL: 2.0471 | VL: 0.0052 | Buf:   8119 | SP: 126s (7.6g/m) | Train: 1s | Elapsed: 1185s
  >> Eval vs random (10g): 0W / 2L / 8D  (Score: 40%)
