[engine] Using C++ engine
=== Candidate 4 v6: AlphaZero with Curriculum ===
Device: cuda
Skipping pretrained weights (SKIP_PRETRAIN=1)
Model: 5 res blocks, 64 channels, 1,868,539 params (7.5 MB)
MCTS: 300 sims, 8 VL batch, c_puct=1.5
Self-play: 16 parallel games, 120 max steps
Training: 500 iters, 100 train steps/iter
Curriculum: random → greedy → minimax → self_play, promote at 75%

Skipping pretrained weights (SKIP_PRETRAIN=1)
Iter   1 [  random] | Games:    16 | R/B/D: 0/0/16 CM:0(0%) | Len: 120 | PL: 0.0000 | VL: 0.0000 | Buf:    960 | SP: 63s (15.2g/m) | Train: 0s | Elapsed: 63s
Iter   2 [  random] | Games:    32 | R/B/D: 1/1/14 CM:2(12%) | Len: 115 | PL: 3.4477 | VL: 0.0352 | Buf:   1882 | SP: 66s (14.5g/m) | Train: 2s | Elapsed: 131s
Iter   3 [  random] | Games:    48 | R/B/D: 1/0/15 CM:1(6%) | Len: 119 | PL: 3.2388 | VL: 0.0065 | Buf:   2833 | SP: 66s (14.6g/m) | Train: 1s | Elapsed: 198s
Iter   4 [  random] | Games:    64 | R/B/D: 0/1/15 CM:1(6%) | Len: 117 | PL: 2.9991 | VL: 0.0048 | Buf:   3767 | SP: 68s (14.2g/m) | Train: 1s | Elapsed: 266s
Iter   5 [  random] | Games:    80 | R/B/D: 0/1/15 CM:1(6%) | Len: 118 | PL: 2.8136 | VL: 0.0055 | Buf:   4715 | SP: 69s (13.9g/m) | Train: 1s | Elapsed: 337s
Iter   6 [  random] | Games:    96 | R/B/D: 0/2/14 CM:2(12%) | Len: 119 | PL: 2.6901 | VL: 0.0061 | Buf:   5664 | SP: 71s (13.5g/m) | Train: 1s | Elapsed: 409s
Iter   7 [  random] | Games:   112 | R/B/D: 0/0/16 CM:0(0%) | Len: 120 | PL: 2.6086 | VL: 0.0059 | Buf:   6624 | SP: 73s (13.2g/m) | Train: 1s | Elapsed: 483s
Iter   8 [  random] | Games:   128 | R/B/D: 0/1/15 CM:1(6%) | Len: 119 | PL: 2.5481 | VL: 0.0063 | Buf:   7573 | SP: 75s (12.9g/m) | Train: 1s | Elapsed: 559s
Iter   9 [  random] | Games:   144 | R/B/D: 1/1/14 CM:2(12%) | Len: 115 | PL: 2.5061 | VL: 0.0074 | Buf:   8489 | SP: 74s (12.9g/m) | Train: 1s | Elapsed: 634s
Iter  10 [  random] | Games:   160 | R/B/D: 3/0/13 CM:3(19%) | Len: 117 | PL: 2.4602 | VL: 0.0081 | Buf:   9422 | SP: 74s (13.0g/m) | Train: 1s | Elapsed: 709s
  >> Eval vs random (10g): 0W / 1L / 9D  (Score: 45%)
Iter  11 [  random] | Games:   176 | R/B/D: 2/0/14 CM:2(12%) | Len: 117 | PL: 2.4388 | VL: 0.0102 | Buf:  10360 | SP: 77s (12.4g/m) | Train: 1s | Elapsed: 1118s
Iter  12 [  random] | Games:   192 | R/B/D: 1/3/12 CM:4(25%) | Len: 109 | PL: 2.4219 | VL: 0.0098 | Buf:  11234 | SP: 73s (13.1g/m) | Train: 1s | Elapsed: 1193s
Iter  13 [  random] | Games:   208 | R/B/D: 1/2/13 CM:3(19%) | Len: 117 | PL: 2.4124 | VL: 0.0129 | Buf:  12169 | SP: 75s (12.7g/m) | Train: 1s | Elapsed: 1269s
Iter  14 [  random] | Games:   224 | R/B/D: 1/1/14 CM:2(12%) | Len: 113 | PL: 2.3994 | VL: 0.0113 | Buf:  13075 | SP: 74s (12.9g/m) | Train: 1s | Elapsed: 1345s
Iter  15 [  random] | Games:   240 | R/B/D: 0/0/16 CM:0(0%) | Len: 120 | PL: 2.3723 | VL: 0.0102 | Buf:  14035 | SP: 77s (12.4g/m) | Train: 1s | Elapsed: 1423s
Iter  16 [  random] | Games:   256 | R/B/D: 0/0/16 CM:0(0%) | Len: 120 | PL: 2.3764 | VL: 0.0116 | Buf:  14995 | SP: 79s (12.2g/m) | Train: 1s | Elapsed: 1503s
Iter  17 [  random] | Games:   272 | R/B/D: 1/1/14 CM:2(12%) | Len: 116 | PL: 2.3594 | VL: 0.0101 | Buf:  15921 | SP: 78s (12.2g/m) | Train: 1s | Elapsed: 1583s
Iter  18 [  random] | Games:   288 | R/B/D: 1/0/15 CM:1(6%) | Len: 116 | PL: 2.3514 | VL: 0.0118 | Buf:  16852 | SP: 78s (12.3g/m) | Train: 1s | Elapsed: 1662s
Iter  19 [  random] | Games:   304 | R/B/D: 1/0/15 CM:1(6%) | Len: 117 | PL: 2.3563 | VL: 0.0111 | Buf:  17791 | SP: 80s (12.0g/m) | Train: 1s | Elapsed: 1743s
Iter  20 [  random] | Games:   320 | R/B/D: 3/0/13 CM:3(19%) | Len: 117 | PL: 2.3501 | VL: 0.0110 | Buf:  18723 | SP: 80s (12.0g/m) | Train: 1s | Elapsed: 1824s
